Number,Date,Source,File,Query,Ref_Code,Gen_Tool,Gen_Code,Correct,Note
31,2026-01-16,?graphics::lines,,cars data: scatterplot stopping distance vs speed and add a smooth line ,"plot(cars, main = ""Stopping Distance versus Speed"")\nlines(stats::lowess(cars))","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'cars'\n\n# make_plot\npng(filename)\nplot(cars$speed, cars$dist, xlab = ""Speed (mph)"", ylab = ""Stopping distance (ft)"", main = ""Stopping Distance vs Speed"")\nlines(lowess(cars$speed, cars$dist, f = 2/3, iter = 3), col = ""red"")\ndev.off()",True,
32,2026-01-16,?graphics::matplot,,"iris data: Plot width vs length with symbols: s/v for Setosa/Versicolor, red/blue for petals/sepals, lowercase/uppercase for petals/sepals.","table(iris$Species) # is data.frame with 'Species' factor\niS <- iris$Species == ""setosa""\niV <- iris$Species == ""versicolor""\nop <- par(bg = ""bisque"")\nmatplot(c(1, 8), c(0, 4.5), type =  ""n"", xlab = ""Length"", ylab = ""Width"",\n        main = ""Petal and Sepal Dimensions in Iris Blossoms"")\nmatpoints(iris[iS,c(1,3)], iris[iS,c(2,4)], pch = ""sS"", col = c(2,4))\nmatpoints(iris[iV,c(1,3)], iris[iV,c(2,4)], pch = ""vV"", col = c(2,4))\nlegend(1, 4, c(""    Setosa Petals"", ""    Setosa Sepals"",\n               ""Versicolor Petals"", ""Versicolor Sepals""),\n       pch = ""sSvV"", col = rep(c(2,4), 2))","help_package, make_plot","# help_package\n# 'package': 'datasets'\n\n# make_plot\npng(filename)\ndata(iris)\npar(mfrow=c(1, 2))\nplot(iris$Sepal.Length, iris$Sepal.Width, col=ifelse(iris$Species=='setosa', 'red', 'blue'), pch=ifelse(iris$Species=='setosa', 's', 'v'), xlab='Sepal Length', ylab='Sepal Width', main='Sepals: Length vs Width')\nplot(iris$Petal.Length, iris$Petal.Width, col=ifelse(iris$Species=='setosa', 'red', 'blue'), pch=ifelse(iris$Species=='setosa', 'S', 'V'), xlab='Petal Length', ylab='Petal Width', main='Petals: Length vs Width')\ndev.off()",False,Should use one panel; Incorrect color assignment
33,2026-01-16,?graphics::matplot,,"gait data: plot angle knee vs hip. different lines for each subject, label points with subject number","iS <- 1:3 # indices of subset\nmatplot(gait[, iS, 1], gait[, iS, 2], pch = ""123"", type = ""b"",\n        col = rainbow(3, start = 0.8, end = 0.1),\n        sub = paste(iS, dimnames(gait)[[2]][iS],\n                    sep = ""="", collapse= "",  ""),\n        xlab = ""Hip angle"", ylab = ""Knee angle"",\n        main = ""Hip and knee angle while walking"")",,,False,"No plot made: ""error"": ""$ operator is invalid for atomic vectors"""
34,2026-01-16,?graphics::mosaicplot,,mosaic plot of survival on the Titanic contingent on sex (x) and age (y),"mosaicplot(~ Sex + Age + Survived, data = Titanic, color = TRUE)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'Titanic'\n\n# make_plot\npng(filename)\nmosaicplot(~ Sex + Age + Survived, data = Titanic, color = TRUE, main = ""Survival on the Titanic Contingent on Sex and Age"")\ndev.off()",True,
35,2026-01-16,?graphics::mosaicplot,,extended mosaic plot of HairEyeColor data,"mosaicplot(HairEyeColor, shade = TRUE)","help_package, help_topic, help_topic",# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'mosaicplot'\n\n# help_topic\n# 'topic': 'HairEyeColor',False,No plot made
36,2026-01-16,Modified from ?graphics::pairs,,"Make pairs plot of iris data, lower triangle only","pairs(iris[1:4], main = ""Anderson's Iris Data -- 3 species"",\n      pch = 21, bg = c(""red"", ""green3"", ""blue"")[unclass(iris$Species)], upper.panel = NULL)","help_package, help_package, help_topic, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_package\n# 'package': 'graphics'\n\n# help_topic\n# 'topic': 'iris'\n\n# help_topic\n# 'topic': 'pairs'\n\n# make_plot\npng(filename)\npairs(iris[1:4], lower.panel = panel.smooth, upper.panel = NULL, main = ""Iris Dataset Pairs Plot - Lower Triangle"")\ndev.off()",True,
37,2026-01-16,?graphics::rug,,"Make a density plot of Old Faithful eruptions, adding a rug of individual eruptions at the bottom","require(stats)  # both 'density' and its default method\nwith(faithful, {\n    plot(density(eruptions, bw = 0.15))\n    rug(eruptions)\n    rug(jitter(eruptions, amount = 0.01), side = 3, col = ""light blue"")\n})","help_package, make_plot","# help_package\n# 'package': 'datasets'\n\n# make_plot\npng(filename)\n# Load the Old Faithful geyser data\ndata(faithful)\n\n# Create a density plot\nplot(density(faithful$eruptions), main = ""Density Plot of Old Faithful Eruptions"",\n     xlab = ""Eruption duration (minutes)"", ylab = ""Density"")\n\n# Add a rug plot\nrug(faithful$eruptions)\n\ndev.off()",True,
38,2026-01-16,?graphics::spineplot,,Make a spine plot of gender vs department in UCBAdmissions,"spineplot(marginSums(UCBAdmissions, c(3, 2)),\n           main = ""Applications at UCB"")","help_package, help_topic, make_plot, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'UCBAdmissions'\n\n# make_plot\nfilename <- tempfile(fileext = "".png"")\npng(filename)\nspineplot(UCBAdmissions[, ""Gender"", ], main=""Spine Plot: Gender vs Department"", xlab=""Department"", ylab=""Proportion of Gender"")\ndev.off()\n\n# make_plot\nfilename <- tempfile(fileext = "".png"")\npng(filename)\n# Aggregate data over the Admission variable\ngender_dept <- apply(UCBAdmissions, c(2, 3), sum)\nspineplot(gender_dept, main=""Spine Plot: Gender vs Department"", xlab=""Department"", ylab=""Proportion of Gender"")\ndev.off()",True,"The plot is correct, with x and y variables swapped"
39,2026-01-16,?graphics::plot.window,,Plot MDS of eurodist data with 1:1 aspect ratio for x and y axes. Show city names instead of points.,"loc <- cmdscale(eurodist)\nrx <- range(x <- loc[,1])\nry <- range(y <- -loc[,2])\nplot(x, y, type = ""n"", asp = 1, xlab = """", ylab = """")\nabline(h = pretty(rx, 10), v = pretty(ry, 10), col = ""lightgray"")\ntext(x, y, labels(eurodist), cex = 0.8)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'eurodist'\n\n# make_plot\npng(filename)\nlibrary(stats)\nfit <- cmdscale(eurodist)\nplot(fit, type = ""n"", asp = 1, xlab = ""Coordinate 1"", ylab = ""Coordinate 2"", main = ""MDS of eurodist"")\ntext(fit, labels = rownames(fit), cex = 0.8)\ndev.off()",True,Plot is rotated but correct
40,2026-01-16,,breast-cancer.csv,"Plot worst radius (y) vs mean radius (x). Add a blue 1:1 line and title ""Breast Cancer Wisconsin (Diagnostic)"".","df <- read.csv(""data/breast-cancer.csv"")\nplot(df$radius_mean, df$radius_worst)\nabline(0, 1, col = 4)\ntitle(""Breast Cancer Wisconsin (Diagnostic)"")","help_package, run_visible, make_plot","# help_package\n# 'package': 'datasets'\n\n# run_visible\nfile_path <- '/tmp/uploads/breast-cancer.csv'\ndf <- read.csv(file_path)\ndata_summary(df)\n\n# make_plot\npng(filename)\nplot(df$radius_mean, df$radius_worst, xlab = ""Mean Radius"", ylab = ""Worst Radius"", main = ""Breast Cancer Wisconsin (Diagnostic)"")\nabline(a = 0, b = 1, col = ""blue"")\ndev.off()",True,
41,2026-01-16,,breast-cancer.csv,"Use mean radius and mean perimeter from data. Calculate perimeter from 2*pi*mean radius, then calculate delta perimeter (calculated perimeter - mean perimeter). Plot delta perimeter (y) vs mean radius (x). Use symbols for diagnosis: solid red squares for M (malignant) and open black circles for B (benign). Apply 50% transparency to red and black colors.","df <- read.csv(""data/breast-cancer.csv"")\npch <- ifelse(df$diagnosis == ""M"", 15, 1)\ncol_B <- adjustcolor(1, alpha.f = 0.5)\ncol_M <- adjustcolor(2, alpha.f = 0.5)\ncol <- ifelse(df$diagnosis == ""M"", col_M, col_B)\np_calc <- df$radius_mean * 2 * pi\ndelta_p <- df$perimeter_mean - p_calc\nplot(df$radius_mean, delta_p, pch = pch, col = col)","help_package, help_topic, run_visible, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'pi'\n\n# run_visible\n# Load the data from the uploaded CSV file\ndf <- read.csv('/tmp/uploads/breast-cancer.csv')\n\ndata_summary(df)\n\n# make_plot\npng(filename)\n# Calculate perimeter and delta perimeter\ndf$calculated_perimeter <- 2 * pi * df$radius_mean\ndf$delta_perimeter <- df$calculated_perimeter - df$perimeter_mean\n\n# Define color and symbols for diagnosis\ndf$color <- ifelse(df$diagnosis == ""M"", rgb(1, 0, 0, 0.5), rgb(0, 0, 0, 0.5))\ndf$symbol <- ifelse(df$diagnosis == ""M"", 15, 1) # Solid squares for M (15), open circles for B (1)\n\n# Plot\nplot(df$radius_mean, df$delta_perimeter, col=df$color, bg=df$color, pch=df$symbol,\n     xlab=""Mean Radius"", ylab=""Delta Perimeter"",\n     main=""Delta Perimeter vs Mean Radius"")\ndev.off()",True,
42,2026-01-16,,breast-cancer.csv,"Generate three metrics for radius: 1. mean radius, 2. radius calculated from mean perimeter, 3. radius calculated from mean area (calculations using basic geometry formulas). Make a long data frame with diagnosis, metric (mean, perimeter, area), and radius values. Use factor interaction (?boxplot) to show radius grouped by diagnosis and metric.","df <- read.csv(""data/breast-cancer.csv"")\nradius_peri <- df$perimeter_mean / 2 / pi\nradius_area <- sqrt(df$area_mean / pi)\nwide_df <- data.frame(diagnosis = df$diagnosis, radius_mean = df$radius_mean, radius_peri, radius_area)\nlong_df <- reshape(wide_df, direction = ""long"", varying = colnames(wide_df)[2:4], sep = ""_"", timevar = ""metric"")\nboxplot(radius ~ metric:diagnosis, data = long_df)","help_topic, run_visible, run_visible, run_visible, run_visible, run_visible, make_plot","# help_topic\n# 'topic': 'boxplot'\n\n# run_visible\ndf <- read.csv(""/tmp/uploads/breast-cancer.csv"")\nlibrary(dplyr)\n# Calculate the metrics\nmetrics <- df %>%\n  summarise(mean_radius = mean(radius_mean, na.rm = TRUE),\n            radius_perimeter = mean(perimeter_mean, na.rm = TRUE) / (2 * pi),\n            radius_area = sqrt(mean(area_mean, na.rm = TRUE) / pi))\n# Create a long dataframe with diagnosis, metric and radius\nlong_df <- df %>%\n  select(diagnosis) %>%\n  mutate(mean_radius = mean(radius_mean, na.rm = TRUE),\n         radius_perimeter = mean(perimeter_mean, na.rm = TRUE) / (2 * pi),\n         radius_area = sqrt(mean(area_mean, na.rm = TRUE) / pi)) %>%\n  tidyr::pivot_longer(cols = starts_with(""radius""),\n                      names_to = ""metric"",\n                      values_to = ""radius"") %>%\n  mutate(metric = recode(metric,\n                         ""mean_radius"" = ""mean"",\n                         ""radius_perimeter"" = ""perimeter"",\n                         ""radius_area"" = ""area""))\ndata_summary(long_df)\n\n# run_visible\ncolnames(df)\n\n# run_visible\nlibrary(dplyr)\nlibrary(tidyr)\n# Calculate the metrics\nmetrics <- df %>%\n  summarise(mean_radius = mean(radius_mean, na.rm = TRUE),\n            radius_perimeter = mean(perimeter_mean, na.rm = TRUE) / (2 * pi),\n            radius_area = sqrt(mean(area_mean, na.rm = TRUE) / pi))\n# Create a long dataframe with diagnosis, metric and radius\nlong_df <- df %>%\n  select(diagnosis) %>%\n  mutate(mean_radius = mean(radius_mean, na.rm = TRUE),\n         radius_perimeter = mean(perimeter_mean, na.rm = TRUE) / (2 * pi),\n         radius_area = sqrt(mean(area_mean, na.rm = TRUE) / pi)) %>%\n  pivot_longer(cols = starts_with(""radius""),\n                      names_to = ""metric"",\n                      values_to = ""radius"") %>%\n  mutate(metric = recode(metric,\n                         ""mean_radius"" = ""mean"",\n                         ""radius_perimeter"" = ""perimeter"",\n                         ""radius_area"" = ""area""))\ndata_summary(long_df)\n\n# run_visible\nhead(df)\n\n# run_visible\n# Load the necessary libraries\nlibrary(dplyr)\nlibrary(tidyr)\n\n# Calculate the metrics\nmetrics <- df %>%\n  summarise(mean_radius = mean(radius_mean, na.rm = TRUE),\n            radius_perimeter = mean(perimeter_mean, na.rm = TRUE) / (2 * pi),\n            radius_area = sqrt(mean(area_mean, na.rm = TRUE) / pi))\n\n# Create a long dataframe with diagnosis, metric and radius\nlong_df <- df %>%\n  select(diagnosis, radius_mean, perimeter_mean, area_mean) %>%\n  mutate(\n    mean_radius = metrics$mean_radius,\n    radius_perimeter = metrics$radius_perimeter,\n    radius_area = metrics$radius_area\n  ) %>%\n  pivot_longer(cols = c(mean_radius, radius_perimeter, radius_area),\n                      names_to = ""metric"",\n                      values_to = ""radius"") %>%\n  mutate(metric = recode(metric,\n                         ""mean_radius"" = ""mean"",\n                         ""radius_perimeter"" = ""perimeter"",\n                         ""radius_area"" = ""area""))\n\ndata_summary(long_df)\n\n# make_plot\npng(filename)\n# Create boxplot with interaction of factors\nboxplot(radius ~ diagnosis:metric, data = long_df,\n        main = ""Boxplot of Radius by Diagnosis and Metric"",\n        xlab = ""Diagnosis : Metric"",\n        ylab = ""Radius"",\n        col = c(""lightblue"", ""lightgreen"", ""lightpink""))\ndev.off()",False,
